,onDE,onBE,onDKW,onUK,onNL,onNL_CE,onNL_E,onNL_NE,onNL_NW,onNL_SE,onNL_SW,onNL_W,onNOS
0,76505.84375,11802.0009765625,3178.95166015625,45367.26171875,17880.1015625,2844.8910809065096,2852.3316589397145,2115.1188472106596,4500.055987167205,1512.2207748943144,526.9554923035104,3528.5277210780864,14854.8251953125
1,73092.3671875,11416.248046875,3154.279296875,44241.3203125,17621.482421875,2804.8227235830477,2808.5900706052735,2086.2153957633564,4433.5831133435795,1492.1692389204686,519.9993541420245,3476.102525517252,14702.7451171875
2,70682.734375,11123.060546875,3150.08251953125,42710.0078125,17489.07421875,2784.303866730327,2786.20577297431,2071.410168187135,4399.556127947397,1481.8954676211747,516.4351049491855,3449.267710340471,14630.7119140625
3,69090.2578125,10851.07421875,3177.447265625,41335.84375,17375.001953125,2766.623924926777,2766.927113252249,2058.6511951303924,4370.244470464957,1473.0401233157777,513.3628665952969,3426.1522594395497,14612.80078125
4,68180.421875,10485.072265625,3243.86181640625,40397.2421875,17261.771484375,2749.0720934807655,2747.7961467924433,2045.9826874971957,4341.152139735253,1464.2461503541292,510.31184616238505,3403.2104203528256,14578.9541015625
5,67115.34375,10486.015625,3411.630859375,40656.6328125,17579.966796875,2798.389524804451,2801.5708579266607,2081.5738548959034,4422.913766512096,1488.9485443408496,518.8820187043187,3467.6882296907193,14790.8095703125
6,64811.5390625,10833.849609375,3625.279296875,42477.23828125,18614.708984375,2958.6428796120667,2976.7229862988297,2197.1215803835184,4688.951956331496,1569.0720606589657,546.6759832865437,3677.521537803579,15319.7548828125
7,64835.1796875,11340.7119140625,3763.276611328125,45284.515625,19546.9609375,3102.8751117430497,3134.867331903274,2300.9926463814454,4928.829103020212,1641.0096085414596,571.6256646020204,3866.7614713085422,15861.62109375
8,67980.1875,11874.34765625,3811.2353515625,49631.18359375,20143.5546875,3195.108855410172,3236.2270140132778,2367.3592036024947,5082.424754541158,1686.9321176053784,587.5505695660635,3987.9521727614538,16458.05078125
9,71363.9765625,12182.7841796875,3835.9375,54101.53125,20367.49609375,3229.7174952633554,3274.3035804355804,2392.2509249958007,5140.095878327461,1704.1482622042518,593.5203396067701,4033.4596129167808,17152.25
10,73803.4375,12569.421875,3810.5634765625,57004.6015625,20493.271484375,3249.152258844018,3295.6959135672428,2406.226557837933,5172.490344448724,1713.8125892757264,596.8713910277863,4059.022429373575,17602.904296875
11,75454.90625,12518.103515625,3750.912353515625,58562.5078125,20395.22265625,3234.001975287348,3279.018994462742,2395.332069642267,5147.236844267122,1706.27902305656,594.2591748155326,4039.094574718428,17759.322265625
12,77329.4296875,12312.3193359375,3730.67919921875,59315.8671875,20370.5078125,3230.182889701082,3274.815767287396,2392.5856133919933,5140.871538952555,1704.3797184832415,593.6005965661238,4034.071688117612,17812.85546875
13,77020.2890625,12098.943359375,3725.90380859375,59139.51953125,20331.728515625,3224.1903144364005,3268.220995858039,2388.275973889178,5130.884148135493,1701.3992982360228,592.5671393832514,4026.1906456866122,17931.33203125
